月間有効求人倍率（一般）,総人口に占める男性の割合,15歳未満人口割合,15～64歳人口割合,65歳以上人口割合,合計特殊出生率,転入者数（日本人移動者）,転出者数（日本人移動者）,結婚件数,離婚件数,着工建築物数,着工新設住宅戸数,着工新設持家数,着工新設貸家数,着工新設分譲住宅数,標準価格（平均価格）（住宅地）,標準価格（平均価格）（商業地）,幼稚園在園者数,幼稚園一園あたりの在園者数,幼稚園教員一人当たりの在園者数,小学校一校あたりの児童数,小学校教員一人当たりの児童数,中学校一校あたりの生徒数,中学校教員一人当たりの生徒数,中学校卒業者のうち進学者数の割合,高等学校一校あたりの生徒数,高等学校教員一人当たりの生徒数,高等学校卒業者のうち進学者数の割合,大学一校あたりの学生数,大学教員一人当たりの学生数,大学卒業者のうち進学者数の割合,一般旅券発行件数,着工新設住宅戸数,医療施設数,保育所等一施設あたりの在所児数,保育所等保育士一人当たりの在所児数,保育所等在所児数,消費支出（二人以上の世帯）,食料費（二人以上の世帯）,住居費（二人以上の世帯）,光熱・水道費（二人以上の世帯）,家具・家事用品費（二人以上の世帯）,被服及び履物費（二人以上の世帯）,保健医療費（二人以上の世帯）,交通・通信費（二人以上の世帯）,教育費（二人以上の世帯）,教養娯楽費（二人以上の世帯）,その他の消費支出（二人以上の世帯）,米FRB金利,日銀金利,NYダウ平均株価,日経平均株価,ドル円為替レート,県内総生産（名目）
0.831158354,0.47856049,0.124042879,0.594946401,0.278713629,1.44,0.01,0.02,0.004310107,0.001512251,0.006654671,0.006218224,0.003462481,0.002280245,0.000412711,25300,49800,0.009408116,86.52816901,12.73264249,182.8064516,12.82368471,196.1851852,11.08158996,0.988769492,463.3703704,12.07237054,0.404419363,2320,8.573540281,0.141457179,0.015892802,0.006218224,0.000761868,76.99435028,6.572462021,0.020869832,275001,67891,19574,26990,9875,10115,13264,32743,5851,24827,63872,0.25,0.084,13104.14,10395.18,78.96,3.203958652
0.557944578,0.47756654,0.125475285,0.601520913,0.272243346,1.41,0.01,0.02,0.004063878,0.00154981,0.005156654,0.003937643,0.002589354,0.001013688,0.00031635,26700,53000,0.009175665,83.2137931,12.68769716,185.3306878,13.07484136,199.5185185,11.33764281,0.987572754,467.9756098,12.14751504,0.409949927,2303.8,8.570684524,0.152087912,0.012744487,0.003937643,0.000744487,77.76635514,6.433762887,0.01898327,279059,70157,14292,27116,10043,10099,11606,31660,9185,25775,69126,0.25,0.073,12217.56,8455.35,79.44,3.058663878
0.382299711,0.477369043,0.126906274,0.598264703,0.271021173,1.46,0.01,0.02,0.004303284,0.001749431,0.004557391,0.003930393,0.002464389,0.001178065,0.000268391,27300,56300,0.009484666,85.82312925,13.06004141,182.6116751,13.32635673,196.9430052,11.6025641,0.986263097,479.8780488,12.37810632,0.411294118,2387.6,8.803834808,0.161163522,0.014626203,0.003930393,0.000750293,76.16224189,6.606704197,0.019410637,283340,66158,24066,24107,9102,10553,11841,34753,12082,27813,62864,0.25,0.094,11577.51,10228.92,87.67,3.002724511
0.289539692,0.47761194,0.126119403,0.606716418,0.267910448,1.37,0.01,0.02,0.004402985,0.001812687,0.004418657,0.003658955,0.002302985,0.001146269,0.000145522,28800,60900,0.009793284,88.0738255,13.30933063,177.8737864,13.31468023,202.0051282,11.87907117,0.982542915,460.8850575,12.4718507,0.400317532,2336.2,8.710663684,0.181030928,0.012694776,0.003658955,0.000752239,78.19047619,6.843448815,0.01960597,287931,67219,14628,23591,8808,12095,13259,41182,8812,28980,69358,0.25,0.102,10428.05,10546.44,94.49,3.012667164
0.432894073,0.477810651,0.128698225,0.608727811,0.262573964,1.39,0.01,0.02,0.004451183,0.001718195,0.005159024,0.005046598,0.002553994,0.001988905,0.000487426,30200,65700,0.010358728,90.94155844,13.86633663,176.8838863,13.39404271,206.0510204,12.08799761,0.980260272,465.875,12.51052792,0.405706542,2320.4,8.664675131,0.160347551,0.012907544,0.005046598,0.000744822,76.67246377,6.931865828,0.019565089,288272,67645,17067,26763,8271,10543,13354,43079,8144,27665,65741,2,0.503,8776.39,8859.56,106.76,3.062246302
1.60482741,0.488725065,0.117953166,0.599306158,0.282740676,1.23,0.02,0.02,0.00436817,0.001639202,0.005218127,0.007123591,0.002195143,0.003024718,0.001873374,40300,240100,0.011711188,113.4705882,11.45778532,301.9060052,14.61266271,281.7971014,12.02473717,0.960315853,625.5638298,12.88974134,0.499088684,3508.642857,9.800678372,0.139569276,0.022840416,0.007123591,0.0007732,80.64449064,6.251410153,0.016821336,276204,77920,17579,23460,10631,11222,12791,33403,10218,27726,51256,2.35,-0.071,28538.44,23656.62,108.23,4.099679122
1.705390671,0.488773748,0.119170984,0.602763385,0.277633851,1.30,0.02,0.02,0.004459413,0.001573834,0.005781952,0.008503454,0.002498273,0.004017271,0.001976252,38600,216300,0.012321244,117.9173554,12.04558886,302.9506494,14.6952249,283.9425837,12.08881646,0.963933311,637.6808511,13.16538546,0.495377979,3473.071429,9.716826539,0.142909863,0.02214076,0.008503454,0.000771157,76.16666667,5.700623701,0.015391192,274585,72541,18572,23182,9317,10860,12592,35107,12760,26617,53037,1.95,-0.07,23327.46,20014.77,111.41,4.107208981
1.61535399,0.489022815,0.120533793,0.607834697,0.271631511,1.31,0.02,0.02,0.004582867,0.001607404,0.006172191,0.009114507,0.002715024,0.00415282,0.002199311,37000,194900,0.012814895,120.5222672,12.75449871,297.2202532,14.83097524,289.9952607,12.41659903,0.971467,639.6210526,13.32836148,0.492846997,3440.214286,9.690744467,0.144862854,0.021030133,0.009114507,0.000763237,83.36829837,6.03628692,0.01539604,280273,71418,20481,20680,11232,9724,15059,31686,11490,27897,60606,1.25,-0.054,24719.22,22764.94,112.5,4.069198881
1.428049135,0.488841202,0.122317597,0.613304721,0.264377682,1.34,0.02,0.02,0.004775536,0.001623605,0.007004292,0.009139485,0.003204721,0.004246781,0.001621888,35800,176400,0.01315279,120.6535433,12.86565911,296.2506266,14.98529412,295.0938967,12.60882648,0.970881047,645.7368421,13.46466198,0.492224578,3429,9.71388102,0.146124173,0.019648927,0.009139485,0.000761803,84.68,6.084426082,0.014537339,281024,74103,18144,21904,11118,11467,14306,36451,9409,29024,55098,0.5,-0.043,19762.6,19114.37,103.97,4.026009442
1.265692111,0.488524568,0.122543006,0.60427722,0.252041755,1.36,0.02,0.02,0.004848967,0.0017083,0.007183259,0.010249372,0.003333478,0.004967224,0.001907966,34000,162000,0.013155668,117.1908397,13.05997448,296.549505,15.1117558,299.4460094,12.87484861,0.975956183,645.9578947,13.35495103,0.49456272,3419.928571,9.968561316,0.149687559,0.01786067,0.010249372,0.000754531,86.93513514,6.159708924,0.013782087,267661,70741,17885,23940,8924,10797,12874,37132,9152,23203,53012,0.25,0.074,17425.03,19033.71,123.31,3.990356909
